"PLZ6";"KANTON";"ORT";"GEMEINDE_NR";"GEMEINDE_BEZ";"BEZIRK_NR";"BEZIRK_BEZ";"ANZ_PERSONEN";"ANZ_HAUSHALTE";"ANZ_PERSONEN_MANNL";"ANZ_PERSONEN_WEIBL";"Longitude";"Latitude"
702703;"GR";"Calfreisen";3921;"Arosa";1829;"Bezirk Plessur";40;19;21;19;9.616764;46.839816
702800;"GR";"St. Peter";3921;"Arosa";1829;"Bezirk Plessur";173;86;89;84;9.65914390325749;46.8481507350921
702801;"GR";"Pagig";3921;"Arosa";1829;"Bezirk Plessur";53;30;27;26;9.65914390325749;46.8481507350921
702900;"GR";"Peist";3921;"Arosa";1829;"Bezirk Plessur";185;80;95;90;9.686112;46.834484
703100;"GR";"Laax GR";3575;"Laax";1831;"Bezirk Surselva";1202;572;652;550;9.229446;46.840652
703200;"GR";"Laax GR 2";3575;"Laax";1831;"Bezirk Surselva";304;207;160;144;9.25709;46.805649
705000;"GR";"Arosa";3921;"Arosa";1829;"Bezirk Plessur";2134;1197;1123;1011;9.66757285246631;46.76677060976
705600;"GR";"Molinis";3921;"Arosa";1829;"Bezirk Plessur";152;67;78;74;9.644662;46.813667
705700;"GR";"Langwies";3921;"Arosa";1829;"Bezirk Plessur";213;104;110;103;9.730882;46.823496
705800;"GR";"Litzirüti";3921;"Arosa";1829;"Bezirk Plessur";97;33;50;47;9.702304;46.798432
706200;"GR";"Passugg";3911;"Churwalden";1829;"Bezirk Plessur";132;64;68;64;9.547034;46.83018
706300;"GR";"Praden";3932;"Tschiertschen-Praden";1829;"Bezirk Plessur";103;48;52;51;9.58091;46.820717
706400;"GR";"Tschiertschen";3932;"Tschiertschen-Praden";1829;"Bezirk Plessur";207;102;100;107;9.605846;46.802799
707400;"GR";"Malix";3911;"Churwalden";1829;"Bezirk Plessur";719;303;372;347;9.521031;46.808705
707500;"GR";"Churwalden";3911;"Churwalden";1829;"Bezirk Plessur";891;407;469;422;9.5394058412325;46.7892296993384
707600;"GR";"Parpan";3911;"Churwalden";1829;"Bezirk Plessur";320;155;166;154;9.561777;46.769827
707700;"GR";"Valbella";3506;"Vaz/Obervaz";1821;"Bezirk Albula";713;347;366;347;8.991001776;46.331968
707800;"GR";"Lenzerheide/Lai";3506;"Vaz/Obervaz";1821;"Bezirk Albula";1471;720;749;722;9.557853;46.72458
708200;"GR";"Vaz/Obervaz";3506;"Vaz/Obervaz";1821;"Bezirk Albula";470;202;241;229;9.537478;46.716761
708300;"GR";"Lantsch/Lenz";3513;"Lantsch/Lenz";1821;"Bezirk Albula";529;252;277;252;9.575677;46.706516
708400;"GR";"Brienz/Brinzauls GR";3542;"Albula/Alvra";1821;"Bezirk Albula";133;69;67;66;9.600881;46.680133
710400;"GR";"Versam";3672;"Safiental";1831;"Bezirk Surselva";169;66;87;82;9.34486275764226;46.7770365989463
710403;"GR";"Arezen";3672;"Safiental";1831;"Bezirk Surselva";56;23;29;27;9.34486275764226;46.7770365989463
710600;"GR";"Tenna";3672;"Safiental";1831;"Bezirk Surselva";122;42;63;59;9.332006;46.747814
710700;"GR";"Safien Platz";3672;"Safiental";1831;"Bezirk Surselva";152;63;78;74;9.295101437;46.684694
710900;"GR";"Thalkirch";3672;"Safiental";1831;"Bezirk Surselva";75;37;39;36;9.287330841;46.630187
711100;"GR";"Pitasch";3619;"Ilanz/Glion";1831;"Bezirk Surselva";78;33;37;41;9.245651;46.722098
711200;"GR";"Duvin";3619;"Ilanz/Glion";1831;"Bezirk Surselva";89;32;42;47;9.237989;46.699322
711300;"GR";"Camuns";3618;"Lumnezia";1831;"Bezirk Surselva";32;16;17;15;9.198037;46.703806
711400;"GR";"Uors (Lumnezia)";3618;"Lumnezia";1831;"Bezirk Surselva";77;29;40;37;9.183462;46.70046
711500;"GR";"Surcasti";3618;"Lumnezia";1831;"Bezirk Surselva";71;29;37;34;9.17758;46.697735
711600;"GR";"Tersnaus";3618;"Lumnezia";1831;"Bezirk Surselva";45;22;23;22;9.198063;46.654368
711602;"GR";"St. Martin (Lugnez)";3603;"Vals";1831;"Bezirk Surselva";25;14;12;13;9.198063;46.654368
712200;"GR";"Valendas";3672;"Safiental";1831;"Bezirk Surselva";307;114;159;148;9.290919;46.78028
712202;"GR";"Carrera";3672;"Safiental";1831;"Bezirk Surselva";31;16;16;15;9.290919;46.78028
712600;"GR";"Castrisch";3619;"Ilanz/Glion";1831;"Bezirk Surselva";443;185;212;231;9.237851;46.771938
712700;"GR";"Sevgein";3619;"Ilanz/Glion";1831;"Bezirk Surselva";177;74;85;92;9.222427;46.757694
712800;"GR";"Riein";3619;"Ilanz/Glion";1831;"Bezirk Surselva";68;26;32;36;9.242135;46.74137
713000;"GR";"Ilanz";3619;"Ilanz/Glion";1831;"Bezirk Surselva";2404;1016;1174;1230;9.19285465064562;46.7706712680625
713002;"GR";"Schnaus";3619;"Ilanz/Glion";1831;"Bezirk Surselva";96;54;46;50;9.19285465064562;46.7706712680625
713200;"GR";"Vals";3603;"Vals";1831;"Bezirk Surselva";981;435;495;486;9.13097915566632;46.573647935874
713300;"GR";"Obersaxen Affeier";3612;"Obersaxen";1831;"Bezirk Surselva";268;137;132;136;9.11935;46.75639
713400;"GR";"Obersaxen Meierhof";3612;"Obersaxen";1831;"Bezirk Surselva";324;140;168;156;9.103146;46.751329
713500;"GR";"Obersaxen Giraniga";3612;"Obersaxen";1831;"Bezirk Surselva";102;44;50;52;9.083925;46.746202
713600;"GR";"Obersaxen Friggahüs";3612;"Obersaxen";1831;"Bezirk Surselva";126;45;62;64;9.09497;46.746077
713700;"GR";"Flond";3617;"Mundaun";1831;"Bezirk Surselva";171;72;91;80;9.157458;46.766669
713800;"GR";"Surcuolm";3617;"Mundaun";1831;"Bezirk Surselva";136;71;70;66;9.153103;46.751282
714100;"GR";"Luven";3619;"Ilanz/Glion";1831;"Bezirk Surselva";175;78;83;92;9.191162;46.757371
714200;"GR";"Cumbel";3618;"Lumnezia";1831;"Bezirk Surselva";193;84;100;93;9.195986;46.733888
714300;"GR";"Morissen";3618;"Lumnezia";1831;"Bezirk Surselva";251;101;130;121;9.18287;46.733453
714400;"GR";"Vella";3618;"Lumnezia";1831;"Bezirk Surselva";484;220;236;248;9.15927084923776;46.7213260770886
714500;"GR";"Degen";3618;"Lumnezia";1831;"Bezirk Surselva";121;56;62;59;9.151966;46.708475
714600;"GR";"Vattiz";3618;"Lumnezia";1831;"Bezirk Surselva";70;33;36;34;9.15899;46.706586
714700;"GR";"Vignogn";3618;"Lumnezia";1831;"Bezirk Surselva";157;62;81;76;9.144837;46.696419
714800;"GR";"Lumbrein";3618;"Lumnezia";1831;"Bezirk Surselva";345;131;178;167;9.107238;46.66889
714802;"GR";"Surin";3618;"Lumnezia";1831;"Bezirk Surselva";89;28;46;43;9.107238;46.66889
714900;"GR";"Vrin";3618;"Lumnezia";1831;"Bezirk Surselva";170;78;88;82;9.0733;46.640562
715100;"GR";"Schluein";3582;"Schluein";1831;"Bezirk Surselva";590;283;311;279;9.222634;46.788362
715200;"GR";"Sagogn";3581;"Sagogn";1831;"Bezirk Surselva";673;290;354;319;9.266171;46.798312
715300;"GR";"Falera";3572;"Falera";1831;"Bezirk Surselva";594;247;312;282;9.212173;46.814053
715400;"GR";"Ruschein";3619;"Ilanz/Glion";1831;"Bezirk Surselva";387;190;185;202;9.188509;46.788705
715500;"GR";"Ladir";3619;"Ilanz/Glion";1831;"Bezirk Surselva";124;69;59;65;9.192712;46.808884
715600;"GR";"Rueun";3619;"Ilanz/Glion";1831;"Bezirk Surselva";433;184;207;226;9.141594;46.788147
715601;"GR";"Pigniu";3619;"Ilanz/Glion";1831;"Bezirk Surselva";17;12;8;9;9.141594;46.788147
715700;"GR";"Siat";3619;"Ilanz/Glion";1831;"Bezirk Surselva";129;63;62;67;9.154709;46.81427
715800;"GR";"Waltensburg/Vuorz";3616;"Waltensburg/Vuorz";1831;"Bezirk Surselva";338;140;175;163;9.09061;46.801372
715900;"GR";"Andiast";3611;"Andiast";1831;"Bezirk Surselva";209;87;106;103;9.099509;46.807079
716200;"GR";"Tavanasa";3981;"Breil/Brigels";1831;"Bezirk Surselva";109;46;56;53;9.042105967;46.745914
716300;"GR";"Danis";3981;"Breil/Brigels";1831;"Bezirk Surselva";272;90;140;132;9.046789028;46.749167
716400;"GR";"Dardin";3981;"Breil/Brigels";1831;"Bezirk Surselva";143;54;74;69;9.049131;46.75836
716500;"GR";"Breil/Brigels";3981;"Breil/Brigels";1831;"Bezirk Surselva";766;293;387;379;9.035315;46.784258
716600;"GR";"Trun";3987;"Trun";1831;"Bezirk Surselva";1043;466;510;533;8.98177260819602;46.7404183129307
716700;"GR";"Zignau";3987;"Trun";1831;"Bezirk Surselva";115;41;56;59;8.996107258;46.729676
716800;"GR";"Schlans";3987;"Trun";1831;"Bezirk Surselva";80;42;39;41;9.000496;46.760848
717200;"GR";"Rabius";3985;"Sumvitg";1831;"Bezirk Surselva";509;216;254;255;8.943256477;46.669386
717300;"GR";"Surrein";3985;"Sumvitg";1831;"Bezirk Surselva";224;88;112;112;8.95137;46.722805
